insister,to insist
instruire,to instruct
interdire,to forbid
intéresser,to interest
interroger,to interrogate
interrompre,to interrupt
intervenir,to intervene
interroger,to question
introduire,to introduce
inventer,to invent
inviter,to invite
jaillir,to spurt out
jaser,to chatter
jaunir,to turn yellow
jeter,to throw
joindre,to join
jouer,to play
jouir,to enjoy
juger,to judge
jurer,"to swear,to vow"
kidnapper,to kidnap
klaxonner,to honk
lâcher,to loosen
laisser,to leave
lancer,to throw
laver,to wash
lever,"to lift,to stand"
lire,to read
loger,to lodge
louer,to rent
luire,to shine
maigrir,to lose weight
maintenir,to maintain
manger,to eat
manquer,to miss
marcher,"to walk,to function"
maudire,to curse
méconnaître,to be unaware of
médire,to malign
méfier,to mistrust
mélanger,to mix
menacer,to threaten
mener,to lead
mentir,to lie
méprendre,to mistake
mépriser,to scorn
mériter,to merit
mesurer,to measure
mettre,to put
modérer,to moderate
monter,to climb
montrer,to show
moquer,to mock
mordre,to bite
moudre,"to mill,to grind"
mouiller,to wet
mourir,to die
nager,to swim
naître,to be born
naviguer,to navigate
négliger,to neglect
négocier,to negotiate
neiger,to snow
nettoyer,to clean
neutraliser,to neutralize
nier,to deny
noircir,to blacken
nommer,to name
noter,to write down
nouer,"to tie,to knot"
nourrir,to feed
noyer,to drown
nuire,to harm
obéir,to obey
obliger,to oblige
obtenir,"to obtain,to get"
occlure,to occlude
occuper,to occupy
offrir,to offer
oindre,to anoint
omettre,to omit
oser,to dare
oublier,to forget
ouvrir,to open
paraître,to seem
parcourir,"to cover,to travel"
pardonner,to forgive
parler,to talk
partager,to share
participer,to participate
partir,to leave
parvenir,to reach
passer,"to pass,to spend time"
patiner,to skate
payer,to pay
pécher,to sin
pêcher,to fish
peigner,to comb
peindre,to paint
peler,to peel
pendre,to hang
pénétrer,to enter
penser,to think
percevoir,to perceive
perdre,to lose
périr,to perish
permettre,to permit
persuader,to persuade
peser,to weigh
pianoter,to tap (like a piano)
placer,to put
plaindre,to pity
plaire,to please
plaisanter,to joke
planter,"to plant,to crash (pc)"
pleurer,to cry
pleuvoir,to rain
plier,"to fold,to bend"
plonger,to dive
poindre,to dawn
pondre,to lay (an egg)
porter,"to wear,to carry"
poser,to put
posséder,to possess
poursuivre,to pursue
pousser,to push
pouvoir,to be able
prédire,to predict
préférer,to prefer
prendre,to take
préparer (parer),to prepare
prescrire,to subscribe
présenter,to introduce
pressentir,to have a premonition
presser,to squeeze
prétendre,to claim
prêter,to loan
prévaloir (se),to pride oneself on
prévenir,to prevent
prévoir,to foresee
prier,to pray
produire,to produce
projeter,to project
promener,to walk
promettre,to promise
prononcer,to pronounce
proposer,"to propose,to suggest"
proscrire,to prohibit
protéger,to protect
prouver,to prove
provenir,"to come from,to be due to"
puer,to stink
punir,to punish
quérir,to summon
quitter,to leave
raconter,"to tell,to recount"
ralentir,to slow down
ranger,to arrange
rappeler,to recall
rassurer,to reassure
rater,to miss
ravir,to delight
recevoir,to receive
reconduire,to renew
reconnaître,to recognize
reconstruire,to rebuild
recoudre,to sew back on
recourir,to run again
recouvrir,to recover
récrire,to rewrite
recueillir,"to collect,to gather"
rédiger,to write
redire,to repeat
réduire,to reduce
réélire,to re-elect
refaire,to redo
réfléchir,to think
refléter,to reflect
refuser,to refuse
regarder,to look at
regretter,to regret
rejeter,to reject
rejoindre,to rejoin
relire,to reread
remarquer,to notice
remercier,to thank
remettre,to put back (on)
remoudre,to regrind
remplacer,to replace
remplir,to fill
rencontrer,to meet
rendre,to give back
renoncer,to renounce
renouveler,to renew
rentrer,to return home
renvoyer,to dismiss
répandre,"to spread,to spill"
reparaître,to reappear
réparer,to repair
repasser,"to iron,to to pass again"
repeindre,to repaint
repentir (se),to repent
repérer,to locate
répéter,to repeat
répondre,to answer
reposer,to rest
reprendre,"to take again,to to recover "
réprimander,to reprimand
reproduire,to reproduce
résoudre,to resolve
ressembler,to resemble
ressentir,to feel
rester,to remain
restreindre,to restrict
reteindre,to dye again
retenir,to retain
retourner,to return
réussir,to succeed
réveiller,to wake up
révéler,to reveal
revendiquer,to take responsibility
revenir,to come back
rêver,to dream
revêtir,to put on
revoir,to see again
riposter,to counteract
rire,to laugh
rompre,to break
rougir,"to redden,to blush"
rouler,"to roll,to drive (a car)"
rouvrir,to reopen
saillir,to protrude
saisir,to seize
salir,to soil
satisfaire,to satisfy
sauter,to jump
sauver,"to save,to rescue"
savoir,to know
secouer,to shake
secourir,to help
séduire,to seduce
séjourner,to sojourn
sembler,to seem
sentir,"to feel,to smell"
séparer,to separate
serrer,"to grasp,to squeeze"
servir,to serve
siffler,to whistle
signaler,to signal
signer,to sign
signifier,to mean
skier,to ski
songer,to dream
sonner,to ring
sortir,to go out
souffler,"to blow,to pant"
souffrir,to suffer
souhaiter,to wish
souiller,to soil
soumettre,to submit
sourire,to smile
souscrire,to subscribe
soutenir,to support
souvenir (se),to remember
subir,to undergo
subvenir,to provide for
sucer,to suck
succomber,to succumb
suffire,to suffice
suggérer,to suggest
suivre,to follow
supplier,to beg
supposer,to suppose
supporter,"to support,to endure"
surprendre,to surprise
survenir,to occur
survivre,to survive
survoler,to fly over
susciter,to cause
tapoter,to tap
teindre,to dye
téléphoner,to call
tendre,"to strain,to strive"
tenir,to hold
tenter,"to try,to tempt"
terminer,to end
tirer,to pull
tomber,to fall
tondre,"to shear,to mow"
tonner,to thunder
toquer,to knock
tordre,to twist
toucher,to affect
tourner,to turn
tousser,to cough
tracer,to draw
traduire,to translate
trahir,to betray
traiter,"to treat,to negotiate"
transcrire,to transcribe
transmettre,to transmit
transparaître,to show through
travailler,to work
traverser,to cross
tressaillir,to shudder
tricher,"to trick,to cheat"
tromper,"to deceive,to mislead"
trouver,to find
tuer,to kill
tutoyer,"to use ""tu"""
unifier,to unify
unir,to unite
user,to wear out
utiliser,to use
vaincre,to defeat
valoir,to be worth
vanter,to praise
varier,to vary
veiller,to stay up
vendre,to sell
venger,to avenge
venir,to come
verdir,to turn green
vérifier,to verify
verser,to pour
vêtir,to clothe
vieillir,to age
viser,to aim
visiter,to visit
vivre,to live
voiler,to veil
voir,to see
voler,"to steal,to fly"
voter,to vote
vouloir,to want
vouvoyer,"to use ""vous"""
voyager,to travel
warranter,to guarantee with a warrant
zébrer,to stripe
zézayer,to lisp
zoner,to zone
